date,title,artist,peakPos,lastPos,weeks,rank,change
2018-06-21,Tequila,Dan + Shay,32,41,14,32,9,
2018-06-21,The Middle,"Zedd, Maren Morris & Grey",5,10,20,8,2,
2018-06-21,This Is America,Childish Gambino,1,7,6,12,-5,
2018-06-21,Up Down,Morgan Wallen Featuring Florida Georgia Line,49,58,12,49,9,
2018-06-21,Violent Crimes,Kanye West,27,27,2,85,-58,
2018-06-21,Wait,Maroon 5,24,26,22,29,-3,
2018-06-21,Walk It Talk It,Migos Featuring Drake,10,17,20,14,3,
2018-06-21,Welcome To The Party,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",78,78,3,100,-22,
2018-06-21,Whatever It Takes,Imagine Dragons,12,22,20,21,1,
2018-06-21,"Woman, Amen",Dierks Bentley,53,69,10,53,16,
2018-06-21,Wouldn't Leave,Kanye West Featuring PARTYNEXTDOOR,24,24,2,92,-68,
2018-06-21,X,Nicky Jam x J Balvin,41,57,15,58,-1,
2018-06-21,Yes Indeed,Lil Baby & Drake,6,15,5,11,4,
2018-06-21,Yikes,Kanye West,8,8,2,40,-32,
2018-06-21,You Make It Easy,Jason Aldean,28,62,20,61,1,
2018-06-21,Youngblood,5 Seconds Of Summer,79,96,2,79,17,
2018-06-21,Zombie,Bad Wolves,54,82,14,82,0,
2018-06-16,Africa,Weezer,89,0,1,89,New,
2018-06-16,Finesse,Bruno Mars & Cardi B,3,39,23,50,-11,
2018-06-16,Humility,Gorillaz Featuring George Benson,85,0,1,85,New,
2018-06-16,I Thought About Killing You,Kanye West,28,0,1,28,New,
2018-06-16,Lust,Lil Skies,87,87,4,93,-6,
2018-06-16,Must've Never Met You,Luke Combs,81,0,1,81,New,
2018-06-16,New Freezer,Rich The Kid Featuring Kendrick Lamar,41,90,19,98,-8,
2018-06-16,No Mistakes,Kanye West,36,0,1,36,New,
2018-06-16,Paranoid,Post Malone,11,83,6,94,-11,
2018-06-16,Rich & Sad,Post Malone,14,79,6,88,-9,
2018-06-16,Shoota,Playboi Carti Featuring Lil Uzi Vert,46,88,4,90,-2,
2018-06-16,Watch,Travis Scott Featuring Lil Uzi Vert & Kanye West,16,84,5,87,-3,
2018-06-09,A$AP Forever,A$AP Rocky Featuring Moby,63,0,2,63,Re-Entry,
2018-06-09,All The Stars,Kendrick Lamar & SZA,7,33,21,41,-8,
2018-06-09,Dinero,Jennifer Lopez Featuring DJ Khaled & Cardi B,80,0,1,80,New,
2018-06-09,Everyday,Logic & Marshmello,29,91,13,95,-4,
2018-06-09,For The First Time,Darius Rucker,58,58,10,81,-23,
2018-06-09,High Hopes,Panic! At The Disco,98,0,1,98,New,
2018-06-09,If You Know You Know,Pusha T,73,0,1,73,New,
2018-06-09,Infrared,Pusha T,65,0,1,65,New,
2018-06-09,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",21,61,20,68,-7,
2018-06-09,Moonlight,XXXTENTACION,35,94,9,99,-5,
2018-06-09,Most People Are Good,Luke Bryan,43,81,18,92,-11,
2018-06-09,Ric Flair Drip,Offset & Metro Boomin,13,45,31,44,1,
2018-06-09,Spoil My Night,Post Malone Featuring Swae Lee,15,77,5,97,-20,
2018-06-09,The Games We Play,Pusha T,100,0,1,100,New,
2018-06-09,What Would Meek Do?,Pusha T Featuring Kanye West,75,0,1,75,New,
2018-06-09,Youth,Shawn Mendes Featuring Khalid,65,0,2,76,Re-Entry,
2018-06-02,ATM,J. Cole,6,63,5,89,-26,
2018-06-02,Champion,NAV Featuring Travis Scott,86,0,1,86,New,
2018-06-02,Change Lanes,Kevin Gates,68,0,1,68,New,
2018-06-02,Don't Go Breaking My Heart,Backstreet Boys,99,0,1,99,New,
2018-06-02,Downtown's Dead,Sam Hunt,98,0,1,98,New,
2018-06-02,Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,79,79,3,96,-17,
2018-06-02,Kevin's Heart,J. Cole,8,68,5,92,-24,
2018-06-02,Let It Sing,Kevin Gates,82,0,1,82,New,
2018-06-02,Like That,Kris Wu,73,0,1,73,New,
2018-06-02,No Excuses,Meghan Trainor,46,67,12,93,-26,
2018-06-02,Outside Today,YoungBoy Never Broke Again,31,80,19,97,-17,
2018-06-02,Red Roses,Lil Skies Featuring Landon Cube,69,87,20,87,0,
2018-06-02,Sangria Wine,Pharrell Williams x Camila Cabello,83,0,1,83,New,
2018-06-02,Southside,Lil Baby,79,0,1,79,New,
2018-06-02,Stay,Post Malone,17,65,4,88,-23,
2018-05-26,92 Explorer,Post Malone,40,69,3,98,-29,
2018-05-26,Cry Pretty,Carrie Underwood,48,0,3,95,Re-Entry,
2018-05-26,Over Now,Post Malone,24,64,3,89,-25,
2018-05-26,Same Bitches,Post Malone Featuring G-Eazy & YG,20,66,3,93,-27,
2018-05-26,Say Something,Justin Timberlake Featuring Chris Stapleton,9,88,16,100,-12,
2018-05-26,Stir Fry,Migos,8,50,21,44,6,
2018-05-26,Takin' Shots,Post Malone,29,67,3,97,-30,
2018-05-26,When We,Tank,78,100,20,94,6,
2018-05-26,Zack And Codeine,Post Malone,23,63,3,90,-27,
2018-05-19,Barbie Tingz,Nicki Minaj,25,0,4,84,Re-Entry,
2018-05-19,Bartier Cardi,Cardi B Featuring 21 Savage,14,75,20,81,-6,
2018-05-19,Blame It On Me,Post Malone,47,47,2,93,-46,
2018-05-19,Diamond Teeth Samurai,YoungBoy Never Broke Again,59,95,5,94,1,
2018-05-19,Famous,Mason Ramsey,62,62,2,95,-33,
2018-05-19,I Do,Cardi B Featuring SZA,23,89,5,96,-7,
2018-05-19,Otherside,Post Malone,46,46,2,89,-43,
2018-05-19,Preach,YoungBoy Never Broke Again,98,0,1,98,New,
2018-05-12,1985 (Intro To The Fall Off),J. Cole,20,20,2,79,-59,
2018-05-12,Candy Paint,Post Malone,34,0,21,34,Re-Entry,
2018-05-12,Changes,XXXTENTACION,37,83,9,96,-13,
2018-05-12,Jonestown (Interlude),Post Malone,73,0,1,73,New,
2018-05-12,Motiv8,J. Cole,15,15,2,71,-56,
2018-05-12,Photograph,J. Cole,14,14,2,80,-66,
2018-05-12,Ring,Cardi B Featuring Kehlani,28,71,4,86,-15,
2018-05-12,Sugar Wraith,Post Malone,57,0,1,57,New,
2018-05-12,Ye vs The People,Kanye West Featuring T.I.,85,0,1,85,New,
2018-05-05,Best Life,Cardi B Featuring Chance The Rapper,39,67,3,100,-33,
2018-05-05,Brackets,J. Cole,30,0,1,30,New,
2018-05-05,Close,Rae Sremmurd & Travis Scott,98,0,1,98,New,
2018-05-05,Feel It Still,Portugal. The Man,4,39,45,50,-11,
2018-05-05,Friends,J. Cole Featuring kiLL edward,46,0,1,46,New,
2018-05-05,Intro,J. Cole,53,0,1,53,New,
2018-05-05,Let You Down,NF,12,37,28,49,-12,
2018-05-05,Once An Addict (Interlude),J. Cole,47,0,1,47,New,
2018-05-05,The Cut Off,J. Cole Featuring kiLL edward,28,0,1,28,New,
2018-05-05,The Long Way,Brett Eldredge,65,65,12,85,-20,
2018-05-05,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,83,14,91,-8,
2018-05-05,Thru Your Phone,Cardi B,50,75,3,99,-24,
2018-05-05,Thunder,Imagine Dragons,4,34,52,45,-11,
2018-05-05,Wake Me Up!,Avicii,4,0,54,34,Re-Entry,
2018-05-05,Window Pain (Outro),J. Cole,41,0,1,41,New,
2018-04-28,Anybody,Young Thug Featuring Nicki Minaj,89,0,1,89,New,
2018-04-28,Bad At Love,Halsey,5,48,33,50,-2,
2018-04-28,Bickenhead,Cardi B,43,43,2,68,-25,
2018-04-28,Billy,6ix9ine,50,68,8,91,-23,
2018-04-28,Broken Clocks,SZA,82,97,4,97,0,
2018-04-28,Five More Minutes,Scotty McCreery,44,89,20,98,-9,
2018-04-28,Get Up 10,Cardi B,38,38,2,77,-39,
2018-04-28,Get You,Daniel Caesar Featuring Kali Uchis,93,0,6,96,Re-Entry,
2018-04-28,Gotti,6ix9ine,99,0,1,99,New,
2018-04-28,Guatemala,Swae Lee Featuring Slim Jxmmi,84,0,1,84,New,
2018-04-28,Hardaway,Derez De'Shon,61,84,11,100,-16,
2018-04-28,Him & I,G-Eazy & Halsey,14,44,20,47,-3,
2018-04-28,I Fall Apart,Post Malone,16,46,30,46,0,
2018-04-28,Let Me,Zayn,73,0,1,73,New,
2018-04-28,Lights Down Low,MAX Featuring gnash,20,45,28,45,0,
2018-04-28,Marry Me,Thomas Rhett,30,55,20,56,-1,
2018-04-28,Money Bag,Cardi B,58,58,2,87,-29,
2018-04-28,She Bad,Cardi B & YG,57,57,2,90,-33,
2018-04-28,She's With Me,High Valley,79,87,8,95,-8,
2018-04-28,Top Off,"DJ Khaled Featuring JAY Z, Future & B",22,90,7,94,-4,
2018-04-28,Wasted Times,The Weeknd,27,63,3,76,-13,
2018-04-21,All On Me,Devin Dawson,52,75,20,93,-18,
2018-04-21,Broken Halos,Chris Stapleton,45,64,20,82,-18,
2018-04-21,Medicine,Queen Naija,45,45,2,86,-41,
2018-04-21,No Roots,Alice Merton,84,84,3,96,-12,
2018-04-21,Proud,2 Chainz Featuring YG & Offset,96,96,2,99,-3,
2018-04-21,Tell Me You Love Me,Demi Lovato,53,62,20,69,-7,
2018-04-21,Try Me,The Weeknd,26,26,2,74,-48,
2018-04-14,Beautiful Trauma,P!nk,78,88,15,97,-9,
2018-04-14,Echame La Culpa,Luis Fonsi & Demi Lovato,47,90,20,91,-1,
2018-04-14,Focus,H.E.R.,100,0,1,100,New,
2018-04-14,Hurt You,The Weeknd Featuring Gesaffelstein,43,0,1,43,New,
2018-04-14,I Was Never There,The Weeknd Featuring Gesaffelstein,35,0,1,35,New,
2018-04-14,La Modelo,Ozuna x Cardi B,52,94,14,95,-1,
2018-04-14,Lemon,N*E*R*D & Rihanna,36,36,22,48,-12,
2018-04-14,NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,63,75,4,98,-23,
2018-04-14,No Smoke,YoungBoy Never Broke Again,61,79,18,87,-8,
2018-04-14,Nowadays,Lil Skies Featuring Landon Cube,55,84,13,85,-1,
2018-04-14,OKRA,"Tyler, The Creator",89,0,1,89,New,
2018-04-14,Privilege,The Weeknd,52,0,1,52,New,
2018-04-14,Say Amen (Saturday Night),Panic! At The Disco,60,60,2,86,-26,
2018-04-14,Tempo,Chris Brown,88,92,4,88,4,
2018-04-14,Written In The Sand,Old Dominion,51,91,20,93,-2,
2018-04-07,44 More,Logic,22,70,5,85,-15,
2018-04-07,Betrayed,Lil Xan,64,76,20,77,-1,
2018-04-07,Booty,Blac Youngsta,73,89,5,93,-4,
2018-04-07,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,99,7,98,1,
2018-04-07,Gummo,6ix9ine,12,63,20,56,7,
2018-04-07,Lost In Japan,Shawn Mendes,64,0,1,64,New,
2018-04-07,Love.,Kendrick Lamar Featuring Zacari,11,42,40,43,-1,
2018-04-07,MotorSport,"Migos, Nicki Minaj & Cardi B",6,43,22,45,-2,
2018-04-07,Narcos,Migos,36,88,9,89,-1,
2018-04-07,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,44,29,41,3,
2018-04-07,Pick It Up,Famous Dex Featuring A$AP Rocky,54,71,20,71,0,
2018-04-07,Rubbin Off The Paint,YBN Nahmir,46,0,17,96,Re-Entry,
2018-04-07,The Remedy For A Broke Heart (Why Am I So In Love),XXXTENTACION,67,67,2,97,-30,
2018-04-07,Wolves,Selena Gomez X Marshmello,20,41,23,44,-3,
2018-03-31,At The Club,Jacquees X Dej Loaf,86,94,7,96,-2,
2018-03-31,Everybody Hates Me,The Chainsmokers,100,0,1,100,New,
2018-03-31,Found / Tonight,Lin-Manuel Miranda & Ben Platt,49,0,1,49,New,
2018-03-31,Going Down!,XXXTENTACION,95,0,1,95,New,
2018-03-31,How Long,Charlie Puth,21,38,24,48,-10,
2018-03-31,Infinity (888),XXXTENTACION Featuring Joey Bada$$,83,0,1,83,New,
2018-03-31,Numb,XXXTENTACION,82,0,1,82,New,
2018-03-31,Sky Walker,Miguel Featuring Travis Scott,29,44,26,50,-6,
2018-03-31,Young Dumb & Broke,Khalid,18,42,36,46,-4,
2018-03-24,66,Lil Yachty Featuring Trippie Redd,73,0,1,73,New,
2018-03-24,Boom!,Lil Yachty Featuring Ugly God,88,0,1,88,New,
2018-03-24,BoomTrap Protocol,Logic,97,0,1,97,New,
2018-03-24,Contra,Logic,60,0,1,60,New,
2018-03-24,Indica Badu,Logic Featuring Wiz Khalifa,56,0,1,56,New,
2018-03-24,Midnight,Logic,74,0,1,74,New,
2018-03-24,Overnight,Logic,68,0,1,68,New,
2018-03-24,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,45,25,47,-2,
2018-03-24,River,Eminem Featuring Ed Sheeran,11,61,13,85,-24,
2018-03-24,Sorry Not Sorry,Demi Lovato,6,49,36,48,1,
2018-03-24,Warm It Up,Logic Featuring Young Sinatra,98,0,1,98,New,
2018-03-24,Wassup,Logic Featuring Big Sean,83,0,1,83,New,
2018-03-24,X,"ScHoolboy Q, 2 Chainz & Saudi",49,89,5,93,-4,
2018-03-24,Yuck,Logic,87,0,1,87,New,
2018-03-17,Corazon,Maluma X Nego do Borel,87,93,9,97,-4,
2018-03-17,Good Old Days,Macklemore Featuring Kesha,48,48,20,50,-2,
2018-03-17,Keke,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,63,8,90,-27,
2018-03-17,Paramedic!,SOB X RBE,65,76,4,92,-16,
2018-03-17,Stranger Things,Joyner Lucas & Chris Brown,91,0,1,91,New,
2018-03-17,The Champion,Carrie Underwood Featuring Ludacris,47,0,3,70,Re-Entry,
2018-03-10,Bodak Yellow (Money Moves),Cardi B,1,33,35,40,-7,
2018-03-10,Break Up In The End,Cole Swindell,98,0,1,98,New,
2018-03-10,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,89,14,95,-6,
2018-03-10,Kooda,6ix9ine,50,0,9,89,Re-Entry,
2018-03-10,Make Me Feel,Janelle Monae,99,0,1,99,New,
2018-03-10,Mayores,Becky G Featuring Bad Bunny,74,100,18,97,3,
2018-03-10,Notice Me,Migos Featuring Post Malone,52,88,5,92,-4,
2018-03-10,Rock,Plies,95,95,5,100,-5,
2018-03-10,Rondo,6ix9ine Featuring Tory Lanez & Young Thug,73,0,1,73,New,
2018-03-10,The Ways,Khalid & Swae Lee,63,68,3,90,-22,
2018-03-10,Want You Back,5 Seconds Of Summer,61,0,1,61,New,
2018-03-10,You Broke Up With Me,Walker Hayes,62,64,19,74,-10,
2018-03-10,Yours,Russell Dickerson,49,67,20,72,-5,
2018-03-03,Big Shot,Kendrick Lamar & Travis Scott,71,71,2,83,-12,
2018-03-03,End Game,Taylor Swift Featuring Ed Sheeran & Future,18,65,14,91,-26,
2018-03-03,Female,Keith Urban,69,0,6,99,Re-Entry,
2018-03-03,For You (Fifty Shades Freed),Liam Payne & Rita Ora,76,76,3,92,-16,
2018-03-03,Gucci Gang,Lil Pump,3,42,24,47,-5,
2018-03-03,I Get The Bag,Gucci Mane Featuring Migos,11,44,27,49,-5,
2018-03-03,Legends,Kelsea Ballerini,68,68,12,87,-19,
2018-03-03,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,48,22,50,-2,
2018-03-03,One Foot,WALK THE MOON,65,87,8,98,-11,
2018-03-03,Shape Of You,Ed Sheeran,1,24,59,24,0,
2018-03-03,Too Good At Goodbyes,Sam Smith,4,39,24,45,-6,
2018-02-24,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,40,42,45,-5,
2018-02-24,Black Panther,Kendrick Lamar,91,0,1,91,New,
2018-02-24,Criminal,Natti Natasha x Ozuna,95,95,3,98,-3,
2018-02-24,Filthy,Justin Timberlake,9,34,6,90,-56,
2018-02-24,Rewrite The Stars,Zac Efron & Zendaya,70,85,7,100,-15,
2018-02-24,Roll In Peace,Kodak Black Featuring XXXTENTACION,31,47,26,50,-3,
2018-02-17,A Girl Like You,Easton Corbin,98,0,1,98,New,
2018-02-17,BBO (Bad Bitches Only),Migos Featuring 21 Savage,48,48,2,89,-41,
2018-02-17,Diplomatic Immunity,Drake,7,55,3,83,-28,
2018-02-17,Like I Loved You,Brett Young,46,70,20,66,4,
2018-02-17,Losing Sleep,Chris Young,60,60,20,71,-11,
2018-02-17,Man Of The Woods,Justin Timberlake,73,0,1,73,New,
2018-02-17,Sick Boy,The Chainsmokers,65,90,3,97,-7,
2018-02-17,Supplies,Justin Timberlake,71,0,2,100,Re-Entry,
2018-02-10,Auto Pilot,Migos,85,0,1,85,New,
2018-02-10,Believer,Imagine Dragons,4,28,52,29,-1,
2018-02-10,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",81,89,5,97,-8,
2018-02-10,CC,Migos Featuring Gucci Mane,96,0,1,96,New,
2018-02-10,Emoji A Chain,Migos,87,0,1,87,New,
2018-02-10,Gang Gang,Migos,73,0,1,73,New,
2018-02-10,Higher We Go (Intro),Migos,83,0,1,83,New,
2018-02-10,MIC Drop,BTS Featuring Desiigner,28,84,10,98,-14,
2018-02-10,Round Here Buzz,Eric Church,56,80,19,89,-9,
2018-02-10,Supastars,Migos,53,0,1,53,New,
2018-02-10,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,42,23,49,-7,
2018-02-10,White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",64,0,1,64,New,
2018-02-03,Attention,Charlie Puth,5,44,40,48,-4,
2018-02-03,Bank Account,21 Savage,12,38,29,47,-9,
2018-02-03,Greatest Love Story,LANCO,45,65,21,59,6,
2018-02-03,I'll Name The Dogs,Blake Shelton,56,82,20,98,-16,
2018-02-03,Ice Tray,Quavo & Lil Yachty,74,86,6,90,-4,
2018-02-03,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,39,30,44,-5,
2018-02-03,My Dawg,Lil Baby,71,90,7,97,-7,
2018-02-03,Never Enough,Loren Allred,88,97,4,96,1,
2018-02-03,No Name,NF,82,0,1,82,New,
2018-02-03,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,51,20,53,-2,
2018-02-03,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",88,89,4,95,-6,
2018-02-03,Unforgettable,French Montana Featuring Swae Lee,3,48,42,50,-2,
2018-02-03,What Lovers Do,Maroon 5 Featuring SZA,9,31,22,41,-10,
2018-01-27,...Ready For It?,Taylor Swift,4,80,20,96,-16,
2018-01-27,El Bano,Enrique Iglesias Featuring Bad Bunny,98,0,1,98,New,
2018-01-27,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",75,89,6,95,-6,
2018-01-27,My My My!,Troye Sivan,80,0,1,80,New,
2018-01-27,Silence,Marshmello Featuring Khalid,30,46,23,50,-4,
2018-01-27,The Weekend,SZA,29,42,25,46,-4,
2018-01-20,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,25,52,34,-9,
2018-01-20,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",90,99,5,97,2,
2018-01-20,I Could Use A Love Song,Maren Morris,56,62,21,56,6,
2018-01-20,I Miss You,Clean Bandit Featuring Julia Michaels,92,0,1,92,New,
2018-01-20,Juice,Yo Gotti,90,90,6,100,-10,
2018-01-20,That's What I Like,Bruno Mars,1,32,52,38,-6,
2018-01-20,Too Much To Ask,Niall Horan,66,86,12,93,-7,
2018-01-13,Dusk Till Dawn,Zayn Featuring Sia,44,99,17,94,5,
2018-01-13,F**k Love,XXXTENTACION Featuring Trippie Redd,41,96,19,98,-2,
2018-01-13,Light It Up,Luke Bryan,57,73,19,69,4,
2018-01-13,Look What You Made Me Do,Taylor Swift,1,66,20,55,11,
2018-01-13,Wanted You,NAV Featuring Lil Uzi Vert,64,0,7,97,Re-Entry,
2018-01-13,What About Us,P!nk,13,48,22,43,5,
2018-01-06,A Holly Jolly Christmas,Burl Ives,38,38,5,46,-8,
2018-01-06,All I Want For Christmas Is You,Mariah Carey,9,9,24,13,-4,
2018-01-06,Black & Chinese,Huncho Jack,71,0,1,71,New,
2018-01-06,Dubai Shit,Huncho Jack Featuring Offset,83,0,1,83,New,
2018-01-06,Eye 2 Eye,Huncho Jack Featuring Takeoff,65,0,1,65,New,
2018-01-06,Huncho Jack,Huncho Jack,87,0,1,87,New,
2018-01-06,It's The Most Wonderful Time Of The Year,Andy Williams,32,32,5,38,-6,
2018-01-06,Modern Slavery,Huncho Jack,68,0,1,68,New,
2018-01-06,Motorcycle Patches,Huncho Jack,90,0,1,90,New,
2018-01-06,Rockin' Around The Christmas Tree,Brenda Lee,14,30,22,36,-6,
2018-01-06,Saint,Huncho Jack,92,0,1,92,New,
2018-01-06,The Christmas Song (Merry Christmas To You),Nat King Cole,37,37,12,42,-5,
2018-01-06,The Race,Tay-K,44,68,20,64,4,
2018-01-06,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,69,0,1,69,New,
2018-01-06,Walk On Water,Eminem Featuring Beyonce,14,87,5,93,-6,
2017-12-30,Danger,Migos & Marshmello,82,0,1,82,New,
2017-12-30,Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,94,96,4,100,-4,
2017-12-30,Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",35,81,7,90,-9,
