title,artist,peakPos,rank
No Excuses,Meghan Trainor,46,93
Outside Today,YoungBoy Never Broke Again,31,97
Red Roses,Lil Skies Featuring Landon Cube,69,87
Sangria Wine,Pharrell Williams x Camila Cabello,83,83
Southside,Lil Baby,79,79
Stay,Post Malone,17,88
92 Explorer,Post Malone,40,98
Cry Pretty,Carrie Underwood,48,95
Over Now,Post Malone,24,89
Same Bitches,Post Malone Featuring G-Eazy & YG,20,93
Say Something,Justin Timberlake Featuring Chris Stapleton,9,100
Stir Fry,Migos,8,44
Takin' Shots,Post Malone,29,97
When We,Tank,78,94
Zack And Codeine,Post Malone,23,90
Barbie Tingz,Nicki Minaj,25,84
Bartier Cardi,Cardi B Featuring 21 Savage,14,81
Blame It On Me,Post Malone,47,93
Diamond Teeth Samurai,YoungBoy Never Broke Again,59,94
Famous,Mason Ramsey,62,95
I Do,Cardi B Featuring SZA,23,96
Otherside,Post Malone,46,89
Preach,YoungBoy Never Broke Again,98,98
1985 (Intro To The Fall Off),J. Cole,20,79
Candy Paint,Post Malone,34,34
Changes,XXXTENTACION,37,96
Jonestown (Interlude),Post Malone,73,73
Motiv8,J. Cole,15,71
Photograph,J. Cole,14,80
Ring,Cardi B Featuring Kehlani,28,86
Sugar Wraith,Post Malone,57,57
Ye vs The People,Kanye West Featuring T.I.,85,85
Best Life,Cardi B Featuring Chance The Rapper,39,100
Brackets,J. Cole,30,30
Close,Rae Sremmurd & Travis Scott,98,98
Feel It Still,Portugal. The Man,4,50
Friends,J. Cole Featuring kiLL edward,46,46
Intro,J. Cole,53,53
Let You Down,NF,12,49
Once An Addict (Interlude),J. Cole,47,47
The Cut Off,J. Cole Featuring kiLL edward,28,28
The Long Way,Brett Eldredge,65,85
This Is Me,Keala Settle & The Greatest Showman Ensemble,58,91
Thru Your Phone,Cardi B,50,99
Thunder,Imagine Dragons,4,45
Wake Me Up!,Avicii,4,34
Window Pain (Outro),J. Cole,41,41
Anybody,Young Thug Featuring Nicki Minaj,89,89
Bad At Love,Halsey,5,50
Bickenhead,Cardi B,43,68
Billy,6ix9ine,50,91
Broken Clocks,SZA,82,97
Five More Minutes,Scotty McCreery,44,98
Get Up 10,Cardi B,38,77
Get You,Daniel Caesar Featuring Kali Uchis,93,96
Gotti,6ix9ine,99,99
Guatemala,Swae Lee Featuring Slim Jxmmi,84,84
Hardaway,Derez De'Shon,61,100
Him & I,G-Eazy & Halsey,14,47
I Fall Apart,Post Malone,16,46
Let Me,Zayn,73,73
Lights Down Low,MAX Featuring gnash,20,45
Marry Me,Thomas Rhett,30,56
Money Bag,Cardi B,58,87
She Bad,Cardi B & YG,57,90
She's With Me,High Valley,79,95
Top Off,"DJ Khaled Featuring JAY Z, Future & B",22,94
Wasted Times,The Weeknd,27,76
All On Me,Devin Dawson,52,93
Broken Halos,Chris Stapleton,45,82
Medicine,Queen Naija,45,86
No Roots,Alice Merton,84,96
Proud,2 Chainz Featuring YG & Offset,96,99
Tell Me You Love Me,Demi Lovato,53,69
Try Me,The Weeknd,26,74
Beautiful Trauma,P!nk,78,97
Echame La Culpa,Luis Fonsi & Demi Lovato,47,91
Focus,H.E.R.,100,100
Hurt You,The Weeknd Featuring Gesaffelstein,43,43
I Was Never There,The Weeknd Featuring Gesaffelstein,35,35
La Modelo,Ozuna x Cardi B,52,95
Lemon,N*E*R*D & Rihanna,36,48
NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,63,98
No Smoke,YoungBoy Never Broke Again,61,87
Nowadays,Lil Skies Featuring Landon Cube,55,85
OKRA,"Tyler, The Creator",89,89
Privilege,The Weeknd,52,52
Say Amen (Saturday Night),Panic! At The Disco,60,86
Tempo,Chris Brown,88,88
Written In The Sand,Old Dominion,51,93
44 More,Logic,22,85
Betrayed,Lil Xan,64,77
Booty,Blac Youngsta,73,93
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,98
Gummo,6ix9ine,12,56
Lost In Japan,Shawn Mendes,64,64
Love.,Kendrick Lamar Featuring Zacari,11,43
MotorSport,"Migos, Nicki Minaj & Cardi B",6,45
Narcos,Migos,36,89
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,41
Pick It Up,Famous Dex Featuring A$AP Rocky,54,71
Rubbin Off The Paint,YBN Nahmir,46,96
The Remedy For A Broke Heart (Why Am I So In Love),XXXTENTACION,67,97
Wolves,Selena Gomez X Marshmello,20,44
At The Club,Jacquees X Dej Loaf,86,96
Everybody Hates Me,The Chainsmokers,100,100
Found / Tonight,Lin-Manuel Miranda & Ben Platt,49,49
Going Down!,XXXTENTACION,95,95
How Long,Charlie Puth,21,48
Infinity (888),XXXTENTACION Featuring Joey Bada$$,83,83
Numb,XXXTENTACION,82,82
Sky Walker,Miguel Featuring Travis Scott,29,50
Young Dumb & Broke,Khalid,18,46
66,Lil Yachty Featuring Trippie Redd,73,73
Boom!,Lil Yachty Featuring Ugly God,88,88
BoomTrap Protocol,Logic,97,97
Contra,Logic,60,60
Indica Badu,Logic Featuring Wiz Khalifa,56,56
Midnight,Logic,74,74
Overnight,Logic,68,68
Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,47
River,Eminem Featuring Ed Sheeran,11,85
Sorry Not Sorry,Demi Lovato,6,48
Warm It Up,Logic Featuring Young Sinatra,98,98
Wassup,Logic Featuring Big Sean,83,83
X,"ScHoolboy Q, 2 Chainz & Saudi",49,93
Yuck,Logic,87,87
Corazon,Maluma X Nego do Borel,87,97
Good Old Days,Macklemore Featuring Kesha,48,50
Keke,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,90
Paramedic!,SOB X RBE,65,92
Stranger Things,Joyner Lucas & Chris Brown,91,91
The Champion,Carrie Underwood Featuring Ludacris,47,70
Bodak Yellow (Money Moves),Cardi B,1,40
Break Up In The End,Cole Swindell,98,98
Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,95
Kooda,6ix9ine,50,89
Make Me Feel,Janelle Monae,99,99
Mayores,Becky G Featuring Bad Bunny,74,97
Notice Me,Migos Featuring Post Malone,52,92
Rock,Plies,95,100
Rondo,6ix9ine Featuring Tory Lanez & Young Thug,73,73
The Ways,Khalid & Swae Lee,63,90
Want You Back,5 Seconds Of Summer,61,61
You Broke Up With Me,Walker Hayes,62,74
Yours,Russell Dickerson,49,72
Big Shot,Kendrick Lamar & Travis Scott,71,83
End Game,Taylor Swift Featuring Ed Sheeran & Future,18,91
Female,Keith Urban,69,99
For You (Fifty Shades Freed),Liam Payne & Rita Ora,76,92
Gucci Gang,Lil Pump,3,47
I Get The Bag,Gucci Mane Featuring Migos,11,49
Legends,Kelsea Ballerini,68,87
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,50
One Foot,WALK THE MOON,65,98
Shape Of You,Ed Sheeran,1,24
Too Good At Goodbyes,Sam Smith,4,45
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,45
Black Panther,Kendrick Lamar,91,91
Criminal,Natti Natasha x Ozuna,95,98
Filthy,Justin Timberlake,9,90
Rewrite The Stars,Zac Efron & Zendaya,70,100
Roll In Peace,Kodak Black Featuring XXXTENTACION,31,50
A Girl Like You,Easton Corbin,98,98
BBO (Bad Bitches Only),Migos Featuring 21 Savage,48,89
Diplomatic Immunity,Drake,7,83
Like I Loved You,Brett Young,46,66
Losing Sleep,Chris Young,60,71
Man Of The Woods,Justin Timberlake,73,73
Sick Boy,The Chainsmokers,65,97
Supplies,Justin Timberlake,71,100
Auto Pilot,Migos,85,85
Believer,Imagine Dragons,4,29
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",81,97
CC,Migos Featuring Gucci Mane,96,96
Emoji A Chain,Migos,87,87
Gang Gang,Migos,73,73
Higher We Go (Intro),Migos,83,83
MIC Drop,BTS Featuring Desiigner,28,98
Round Here Buzz,Eric Church,56,89
Supastars,Migos,53,53
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,49
White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",64,64
Attention,Charlie Puth,5,48
Bank Account,21 Savage,12,47
Greatest Love Story,LANCO,45,59
I'll Name The Dogs,Blake Shelton,56,98
Ice Tray,Quavo & Lil Yachty,74,90
Mi Gente,J Balvin & Willy William Featuring Beyonce,3,44
My Dawg,Lil Baby,71,97
Never Enough,Loren Allred,88,96
No Name,NF,82,82
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,53
The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",88,95
Unforgettable,French Montana Featuring Swae Lee,3,50
What Lovers Do,Maroon 5 Featuring SZA,9,41
...Ready For It?,Taylor Swift,4,96
El Bano,Enrique Iglesias Featuring Bad Bunny,98,98
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",75,95
My My My!,Troye Sivan,80,80
Silence,Marshmello Featuring Khalid,30,50
The Weekend,SZA,29,46
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,34
Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",90,97
I Could Use A Love Song,Maren Morris,56,56
I Miss You,Clean Bandit Featuring Julia Michaels,92,92
Juice,Yo Gotti,90,100
That's What I Like,Bruno Mars,1,38
Too Much To Ask,Niall Horan,66,93
Dusk Till Dawn,Zayn Featuring Sia,44,94
F**k Love,XXXTENTACION Featuring Trippie Redd,41,98
Light It Up,Luke Bryan,57,69
Look What You Made Me Do,Taylor Swift,1,55
Wanted You,NAV Featuring Lil Uzi Vert,64,97
What About Us,P!nk,13,43
A Holly Jolly Christmas,Burl Ives,38,46
All I Want For Christmas Is You,Mariah Carey,9,13
Black & Chinese,Huncho Jack,71,71
Dubai Shit,Huncho Jack Featuring Offset,83,83
Eye 2 Eye,Huncho Jack Featuring Takeoff,65,65
Huncho Jack,Huncho Jack,87,87
It's The Most Wonderful Time Of The Year,Andy Williams,32,38
Modern Slavery,Huncho Jack,68,68
Motorcycle Patches,Huncho Jack,90,90
Rockin' Around The Christmas Tree,Brenda Lee,14,36
Saint,Huncho Jack,92,92
The Christmas Song (Merry Christmas To You),Nat King Cole,37,42
The Race,Tay-K,44,64
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,69,69
Walk On Water,Eminem Featuring Beyonce,14,93
Danger,Migos & Marshmello,82,82
Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,94,100
Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",35,90
Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,67,67
Humble.,Kendrick Lamar,1,47
Jocelyn Flores,XXXTENTACION,31,98
Last Christmas,Wham!,41,44
Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,80,80
There's Nothing Holdin' Me Back,Shawn Mendes,6,48
Unforgettable,Thomas Rhett,47,71
Untouchable,Eminem,86,86
When It Rains It Pours,Luke Combs,33,68
Ask Me How I Know,Garth Brooks,71,94
Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,95,95
Congratulations,Post Malone Featuring Quavo,8,49
Love So Soft,Kelly Clarkson,47,79
Sauce It Up,Lil Uzi Vert,49,100
Transportin',Kodak Black,46,92
Do Re Mi,Blackbear,40,44
Fix A Drink,Chris Janson,67,90
Go Flex,Post Malone,76,95
It's Everyday Bro,Jake Paul Featuring Team 10,91,91
Perro Fiel,Shakira Featuring Nicky Jam,100,100
Praying,Kesha,22,35
Rake It Up,Yo Gotti Featuring Nicki Minaj,8,34
Slow Hands,Niall Horan,11,50
Strip That Down,Liam Payne Featuring Quavo,10,41
Total Eclipse Of The Heart,Chloe Kohanski,99,99
Awful Things,Lil Peep,79,79
Every Little Thing,Carly Pearce,50,84
Glorious,Macklemore Featuring Skylar Grey,49,93
Questions,Chris Brown,78,94
Relationship,Young Thug Featuring Future,65,81
The Rest Of Our Life,Tim McGraw & Faith Hill,98,98
Call It What You Want,Taylor Swift,27,73
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,45,50
Gorgeous,Taylor Swift,13,89
Patek Water,Future & Young Thug Featuring Offset,50,100
Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo",64,88
Smooth,Florida Georgia Line,89,92
Something Just Like This,The Chainsmokers & Coldplay,3,49
The Plan,G-Eazy,96,96
What Ifs,Kane Brown Featuring Lauren Alaina,26,43
XO TOUR Llif3,Lil Uzi Vert,7,48
Body Like A Back Road,Sam Hunt,6,49
Mad Stalkers,"21 Savage, Offset & Metro Boomin",99,99
My Choppa Hate N****s,21 Savage & Metro Boomin,73,73
Nightmare,Offset & Metro Boomin,100,100
Pray,Sam Smith Featuring Logic,55,82
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,2,48
All The Pretty Girls,Kenny Chesney,63,97
B.E.D.,Jacquees,69,93
Heartache On The Dance Floor,Jon Pardi,47,92
High End,Chris Brown Featuring Future & Young Thug,82,100
Location,Khalid,16,48
More Girls Like You,Kip Moore,66,99
Too Hotty,"Quavo, Takeoff & Offset",91,96
4 Da Gang,Future,92,92
All Da Smoke,Future & Young Thug,77,77
Bedroom Floor,Liam Payne,98,98
Butterfly Effect,Travis Scott,51,53
Escapate Conmigo,Wisin Featuring Ozuna,63,76
Feed Me Dope,Future,68,68
Friends,Justin Bieber + BloodPop,20,94
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",44,79
Love Galore,SZA Featuring Travis Scott,32,48
No Cap,Future & Young Thug,62,62
Three,Future & Young Thug,100,100
Curve,Gucci Mane Featuring The Weeknd,67,71
Do I Make You Wanna,Billy Currington,47,100
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",20,94
No Promises,Cheat Codes Featuring Demi Lovato,38,49
Say You Won't Let Go,James Arthur,11,46
Small Town Boy,Dustin Lynch,36,53
Stunting Ain't Nuthin,Gucci Mane Featuring Slim Jxmmi & Young Dolph,95,95
They Don't Know,Jason Aldean,67,99
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,20,20
Dear Hate,Maren Morris Featuring Vince Gill,91,91
DNA,BTS,67,98
Loyalty.,Kendrick Lamar Featuring Rihanna,14,48
No Promises,A Boogie Wit da Hoodie,74,93
Say A',A Boogie Wit da Hoodie,75,94
Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,86,86
Hi Bich,Bhad Bhabie,68,68
It Ain't My Fault,Brothers Osborne,79,88
No Such Thing As A Broken Heart,Old Dominion,46,92
Redbone,Childish Gambino,12,50
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,84,84
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,51,100
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,40,88
Felices Los 4,Maluma,48,80
Fetish,Selena Gomez Featuring Gucci Mane,27,96
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1,42
Stay,Zedd & Alessia Cara,7,47
Wish I Knew You,The Revivalists,84,99
Drinkin' Problem,Midland,45,93
Everybody Dies In Their Nightmares,XXXTENTACION,54,96
Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA",92,92
Mask Off,Future,5,48
No Complaints,Metro Boomin Featuring Offset & Drake,71,100
These Heaux,Bhad Bhabie,77,98
444+222,Lil Uzi Vert,60,100
Found You,Kane Brown,80,80
Magnolia,Playboi Carti,29,63
Swish Swish,Katy Perry Featuring Nicki Minaj,46,92
Versace On The Floor,Bruno Mars,33,83
Dark Queen,Lil Uzi Vert,91,91
Most Girls,Hailee Steinfeld,58,88
My Girl,Dylan Scott,39,87
Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,79,94
No Fear,DeJ Loaf,100,100
Reminder,The Weeknd,31,99
Revenge,XXXTENTACION,77,96
Somebody Else Will,Justin Moore,59,98
X,Lil Uzi Vert,81,93
Carry On,XXXTENTACION,95,95
Depression & Obsession,XXXTENTACION,91,91
DNA.,Kendrick Lamar,4,63
Down,Fifth Harmony Featuring Gucci Mane,42,99
For Real,Lil Uzi Vert,82,82
It Ain't Me,Kygo x Selena Gomez,10,44
No Sleep Leak,Lil Uzi Vert,90,90
Save Me,XXXTENTACION,94,94
Two,Lil Uzi Vert,80,80
UnFazed,Lil Uzi Vert Featuring The Weeknd,84,84
2U,David Guetta Featuring Justin Bieber,16,73
4:00 AM,2 Chainz Featuring Travis Scott,55,95
Castle On The Hill,Ed Sheeran,6,48
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,38,46
Everyday We Lit,YFN Lucci Featuring PnB Rock,33,43
Flatliner,Cole Swindell,56,88
For Her,Chris Lane,92,92
Honest,The Chainsmokers,77,81
Its Every Night Sis,RiceGum Featuring Alissa Violet,80,80
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",87,99
Now Or Never,Halsey,17,40
Patty Cake,Kodak Black,76,93
Perplexing Pegasus,Rae Sremmurd,84,91
Privacy,Chris Brown,62,97
Untouchable,YoungBoy Never Broke Again,95,96
You Look Good,Lady Antebellum,59,62
Younger Now,Miley Cyrus,79,79
Bad Liar,Selena Gomez,20,83
Craving You,Thomas Rhett Featuring Maren Morris,39,60
El Amante,Nicky Jam,92,99
First Day Out,Tee Grizzley,48,84
In Case You Didn't Know,Brett Young,19,45
It's Goin' Down,Descendants 2 Cast,77,96
Malibu,Miley Cyrus,10,78
Slippery,Migos Featuring Gucci Mane,29,46
Something New,Wiz Khalifa Featuring Ty Dolla $ign,92,92
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,76,100
Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",95,95
Issues,Julia Michaels,11,44
OMG,Camila Cabello Featuring Quavo,81,81
What's My Name,"China Anne McClain, Thomas Doherty & Dylan Playfair",61,85
You Da Baddest,Future Featuring Nicki Minaj,38,87
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,46,95
Heavy,Linkin Park Featuring Kiiara,45,96
Learn To Let Go,Kesha,97,97
Passionfruit,Drake,8,81
Rolex,Ayo & Teo,20,49
Signs,Drake,36,100
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",81,91
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,29,82
1942 Flows,Meek Mill,83,83
Closer,The Chainsmokers Featuring Halsey,1,39
F**k That Check Up,Meek Mill Featuring Lil Uzi Vert,97,97
Heavy Heart,Meek Mill,99,99
Imitadora,Romeo Santos,91,91
In The End,Linkin Park,2,37
Issues,Meek Mill,77,77
Numb,Linkin Park,11,34
The Fighter,Keith Urban Featuring Carrie Underwood,38,47
The Story Of O.J.,JAY-Z,23,95
We Ball,Meek Mill Featuring Young Thug,96,96
Wins & Losses,Meek Mill,79,79
Yours If You Want It,Rascal Flatts,71,87
24K Magic,Bruno Mars,4,50
04:44,JAY-Z,35,61
A Lie,French Montana Featuring The Weeknd & Max B,75,75
Bad And Boujee,Migos Featuring Lil Uzi Vert,1,45
Crying In The Club,Camila Cabello,47,73
Element.,Kendrick Lamar,16,98
Every Time I Hear That Song,Blake Shelton,56,85
iSpy,KYLE Featuring Lil Yachty,4,46
Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,86,86
Rollin,Calvin Harris Featuring Future & Khalid,62,97
The Cure,Lady Gaga,39,87
Weak,AJR,73,93
Woman,Kesha Featuring The Dap-Kings Horns,96,96
Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely",47,47
Caught Their Eyes,JAY-Z Featuring Frank Ocean,63,63
Family Feud,JAY-Z Featuring Beyonce,51,51
Famous,21 Savage,94,94
Get Low,Zedd & Liam Payne,91,91
Hurricane,Luke Combs,31,50
Kill Jay Z,JAY-Z,55,55
Marcy Me,JAY-Z,90,90
Moonlight,JAY-Z,86,86
Slide,Calvin Harris Featuring Frank Ocean & Migos,25,45
Smile,JAY-Z Featuring Gloria Carter,56,56
Extra Luv,Future Featuring YG,99,99
Goosebumps,Travis Scott,32,47
How Not To,Dan + Shay,57,100
Losin Control,Russ,62,95
Portland,Drake Featuring Quavo & Travis Scott,9,90
Sign Of The Times,Harry Styles,4,73
T-Shirt,Migos,19,48
Tunnel Vision,Kodak Black,6,55
Who Dat Boy,"Tyler, The Creator",87,87
Cold,Maroon 5 Featuring Future,16,91
Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,68,68
Good Drank,2 Chainz x Gucci Mane x Quavo,70,97
If I Told You,Darius Rucker,53,83
On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",88,88
Shining,DJ Khaled Featuring Beyonce & JAY Z,57,98
To The Max,DJ Khaled Featuring Drake,53,73
First Day Out,Kodak Black,61,61
Look At Me!,XXXTENTACION,34,60
My Old Man,Zac Brown Band,68,88
Nobody Else But You,Trey Songz,92,97
Real Hitta,Plies Featuring Kodak Black,100,100
Scars To Your Beautiful,Alessia Cara,8,45
Black,Dierks Bentley,56,86
Bon Appetit,Katy Perry Featuring Migos,59,85
Gyalchester,Drake,29,98
Hometown Girl,Josh Turner,56,96
Swang,Rae Sremmurd,26,50
Human,Rag'n'Bone Man,74,100
Met Gala,Gucci Mane Featuring Offset,88,92
